	tag	label	sentence	text
1	figure	Figure 1	1	Anatomy of the proboscis.
2	figure	Figure 1	2	(A–C) Thick sagittal sections of fly heads with proboscis in various states of extension.
3	figure	Figure 1	3	Scale bars: 100 µm.
4	figure	Figure 1	4	Arrows, D: dorsal, A: anterior.
5	figure	Figure 1	5	(A) Muscles and other internal tissues stained with phalloidin (red).
6	figure	Figure 1	6	Cuticle and sclerites stained with calcofluor white (cyan).
7	figure	Figure 1	7	(B–C) Soft tissues digested away to reveal rigid external and internal cuticle.
8	figure	Figure 1	8	Magenta: locations of proboscis joints.
9	figure	Figure 1	9	Green: pharynx.
10	figure	Figure 1	10	Cyan: esophagus.
11	figure	Figure 1	11	(D) Lateral view of a feeding fly, showing proboscis touching surface near forelegs.
12	figure	Video 1	1	Synchrotron x-ray video of proboscis extension.
13	figure	Video 1	2	Looping video of proboscis extension in a fly tethered with head glued, in a synchrotron x-ray beam, sagittal view, 1/100 speed.
14	figure	Video 1	3	This example primarily shows movement of the rostrum (labeled magenta in the later portion of the video), pivoting around the joint marked by crosshairs, with little extension of the haustellum and labella (green).
15	figure	Video 2	1	Proboscis joint movements in response to sucrose.
16	figure	Video 2	2	Sagittal view of a tethered fly (anterior: up) reaching the proboscis towards a droplet of sucrose presented to the legs. 1/30 speed.
17	figure	Video 2	3	Magenta dots: approximate locations of two proboscis joints.
18	figure	Video 3	1	Rostrum joint movement.
19	figure	Video 3	2	Proboscis movement restricted to rostrum joint by gluing haustellum (in or out) and head.
20	figure	Video 3	3	Sagittal view of tethered fly, anterior: up, 1/3 speed.
21	figure	Video 3	4	Magenta dot: approximate location of rostrum joint.
22	figure	Video 4	1	Haustellum joint movement.
23	figure	Video 4	2	Proboscis movement restricted mainly to haustellum joint by gluing rostrum (in or out) and head.
24	figure	Video 4	3	(Rostrum glued along one surface, not completely immobilized).
25	figure	Video 4	4	Sagittal view of tethered fly, anterior: up, 1/3 speed.
26	figure	Video 4	5	Magenta dot: approximate location of haustellum joint.
27	figure	Figure 2	1	The fly proboscis as a model system for directed reaching.
28	figure	Figure 2	2	(A) A fly extending the proboscis towards food on the surface of an experimental chamber (sagittal view).
29	figure	Figure 2	3	(B) A male fly (left) courting a female (right), extending his proboscis towards the female’s posterior.
30	figure	Figure 2	4	(C) Points used for measurement of angles of the head (connected by the longer lines) and rostrum (shorter lines).
31	figure	Figure 2	5	Scale bar: 200 µm.
32	figure	Figure 2	6	(D) Measurement of haustellum angle.
33	figure	Figure 2	7	(E–G) Angle of head (E), rostrum (F) and haustellum (G) in males feeding or courting on a flat surface. n = 15 flies per condition.
34	figure	Figure 2	8	T-test (unpaired) *p<0.05, **p<0.01, ***p<0.001, N.S.: not significant.
