file_name	mention_text	candidate_entity_iri	candidate_entity_label	candidate_entity_aliases	confidence
PMC7710706	-12	FBbt:00049022	larval mushroom body one-step feedback neuron 15	CN-48,FBbt:00049022,FB-28,FBN-15,LHN-12,MB2IN-32,MB2ON-98,larval lateral horn neuron 12,larval mushroom body second-order output neuron 98,larval mushroom body-lateral horn convergence neuron 48	0.7875454425811768
PMC7710706	14B lineage	FBbt:00048934	lineage NB4-1 neuron	lineage 14 neuron,FBbt:00048934	0.7625318765640259
PMC7710706	50-ms	FBbt:00000127	head mesoderm	HeadMes,FBbt:00000127,HeadMesP3,P4 HeadMes,head mesoderm P3 primordium,head mesoderm primordium P4,hms,procephalic mesoderm	0.7138830423355103
PMC7710706	AD	FBbt:00047119	larval anterior dorsal commissure	aD,FBbt:00047119,larval antero-dorsal commissure	1.0
PMC7710706	adult	FBbt:00003004	adult	imago,FBbt:00003004	1.0
PMC7710706	AEP	FBbt:00045001	plexiform medulla	MEP,FBbt:00045001,PLME,medulla proper	0.8812693953514099
PMC7710706	anatomical	FBbt:10000000	anatomical entity	Drosophila,FBbt:10000000	0.7242487072944641
PMC7710706	Anterior	FBbt:00047207	adult midgut-hindgut hybrid zone	HPZ,FBbt:00047207,adult HZ,adult Wg ring,adult midgut-hindgut boundary,anterior SCZ,anterior spindle cell zone,hindgut proliferation zone,midgut/hindgut imaginal ring	0.8375430703163147
PMC7710706	anti-HA Tag (	FBbt:00004052	adult ventral nerve cord	TAC,FBbt:00004052,TAG,adult ThGng,adult VNC,adult VNS,adult ventral nervous system,thoracico-abdominal center,thoracico-abdominal ganglia,thoracico-abdominal ganglion,thoracico-abdominal nervous system,thoracicoabdominal ganglion	0.7573705315589905
PMC7710706	aperture	FBbt:00004525	prestomal cavity	prestomal aperture,FBbt:00004525	0.7069190144538879
PMC7710706	ascending	FBbt:00110155	octopaminergic VUMa neuron	OA-VUMa,FBbt:00110155,SOG VUM neuron,VUM neuron of the subesophageal ganglion,ascending VUM neuron,subesophageal ganglion VUM neuron,subesophageal ganglion ventral unpaired median neuron,ventral unpaired median octopaminergic anterior neuron	0.841026782989502
PMC7710706	bilaterally	FBbt:00049650	bilaterally projecting wind sensitive wedge projection neuron	WPNB,FBbt:00049650,bilaterally projecting WPN	0.7536142468452454
PMC7710706	black	FBbt:00005199	Kolbchen	B,FBbt:00005199,Kolbchen, k,black dot,black organ,pit,ventral pit	0.8131770491600037
PMC7710706	body	FBbt:00005107	cell body	soma,FBbt:00005107	0.7536259293556213
PMC7710706	body wall	FBbt:00110299	hypodermal muscle cell of A1-7	body wall muscle,FBbt:00110299	0.8467459082603455
PMC7710706	body-coxa	FBbt:00051076	body-coxa joint	proximal joint of coxa,FBbt:00051076	0.8048561811447144
PMC7710706	Bottom right	FBbt:00051240	right asymmetrical body	AB(R),FBbt:00051240,right AB	0.7129877209663391
PMC7710706	boundaries	FBbt:00110914	adult midgut constriction R0-R1	BR0-R1,FBbt:00110914,boundary R0-R1	0.7167174816131592
PMC7710706	bouts	FBbt:00005116	bouton	synaptic bouton,FBbt:00005116,terminal bouton	0.7487436532974243
PMC7710706	boxes	FBbt:00048272	wing margin mechanosensory bristle	Wes,FBbt:00048272,wing external sensillum	0.7286400198936462
PMC7710706	brain	FBbt:00110636	adult cerebral ganglion	CRG,FBbt:00110636,SPG,adult supraesophageal ganglion,brain,cerebrum	1.0
PMC7710706	CA	FBbt:00003685	mushroom body calyx	CA,FBbt:00003685,calyx,calyx of corpora pedunculata,calyx of mushroom body,main calyx	1.0
PMC7710706	cell	FBbt:00004781	wing basal cell 1	C' cell,FBbt:00004781	1.0
PMC7710706	central nervous system	FBbt:00005094	central nervous system	CNS,FBbt:00005094	1.0
PMC7710706	central neurons	FBbt:00004046	LNv neuron	lateral neuron ventral,FBbt:00004046,ventral adult lateral neuron,ventral lateral neurons	0.7646285891532898
PMC7710706	chamber	FBbt:00003157	adult heart chamber 1	Ht1,FBbt:00003157,chamber 1,conical chamber	0.9637370705604553
PMC7710706	cholinergic	FBbt:00007403	cholinergic local interneuron of the adult antennal lobe	AL-LNC,FBbt:00007403,LNC,cholinergic adult AL LN	0.8401883840560913
PMC7710706	class	FBbt:00100145	gustatory receptor neuron of the dorsal organ	DO class,FBbt:00100145	0.8016329407691956
PMC7710706	CMOS	FBbt:00004906	centripetal follicle cell	CMFC,FBbt:00004906,centripetally migrating follicle cell,inwardly migrating follicle cell	0.7745294570922852
PMC7710706	CNS	FBbt:00005094	central nervous system	CNS,FBbt:00005094	1.0
PMC7710706	CO	FBbt:00005215	chordotonal organ	ch,FBbt:00005215,co,scolopophorous organ,sensilla scolopophora	1.0
PMC7710706	command	FBbt:00110985	adult feeding interneuron	FDG neuron,FBbt:00110985,Fdg interneuron,feeding command neuron	0.7089091539382935
PMC7710706	continuous	FBbt:00049644	adult continuous antennal lobe local neuron	adult continuous AL LN,FBbt:00049644,adult regional antennal lobe local neuron,lavish LN,regional ALLN	0.7935888171195984
