file_name	mention_text	candidate_entity_iri	candidate_entity_label	candidate_entity_aliases	confidence
PMC6800437	B_DSK	FBbt:00048998	Drosulfakinin neuron	Drosulfakinin,Drosulfakinin neurons,Drosulfakinin neuron,DPC,FBbt:00048998,DSK,DSK-producing cell,DSK producing cell,Dsk-producing neuron,Dsk producing neuron,Dsk-producing neurons,Dsk producing neurons,Dsk producing,Dsk-producing,dsk neuron,dsk neurons,dsk	0.892488300800323486328125
PMC6800437	B_DSK	FBbt:00048999	adult Drosulfakinin neuron	,neurons,adult Drosulfakinin,adult Drosulfakinin neuron,neuron,adult Drosulfakinin neurons,adult DPC,FBbt:00048999,adult DSK-producing cell,adult DSK producing cell,adult Dsk-producing neuron,adult Dsk producing neurons,adult Dsk-producing neurons,adult Dsk-producing,adult Dsk producing,adult Dsk producing neuron,adult dsk neuron,adult dsk neurons,adult dsk	0.857310950756072998046875
PMC6800437	chemosensory	FBbt:00005922	chemosensory neuron	chemosensory neurons,chemosensory,chemosensory neuron,FBbt:00005922	1
PMC6800437	DN1	FBbt:00003629	DN1 neuron	DN1,DN1 neurons,DN1 neuron,adult dorsal neuron 1,adult dorsal 1,adult dorsal neurons 1,FBbt:00003629,adult dorsal neuron-1,adult dorsal neurons-1,adult dorsal -1	1
PMC6800437	dopaminergic	FBbt:00005131	dopaminergic neuron	dopaminergic neurons,dopaminergic,dopaminergic neuron,DA neuron,DA,DA neurons,FBbt:00005131,dopamine neuron,dopamine neurons,dopamine	1
PMC6800437	doublesex	FBbt:00047347	adult doublesex neuron	adult doublesex,adult doublesex neurons,adult doublesex neuron,FBbt:00047347	0.973934471607208251953125
PMC6800437	Drosulfakinin	FBbt:00048998	Drosulfakinin neuron	Drosulfakinin,Drosulfakinin neurons,Drosulfakinin neuron,DPC,FBbt:00048998,DSK,DSK-producing cell,DSK producing cell,Dsk-producing neuron,Dsk producing neuron,Dsk-producing neurons,Dsk producing neurons,Dsk producing,Dsk-producing,dsk neuron,dsk neurons,dsk	1
PMC6800437	Drosulfakinin	FBbt:00048999	adult Drosulfakinin neuron	,neurons,adult Drosulfakinin,adult Drosulfakinin neuron,neuron,adult Drosulfakinin neurons,adult DPC,FBbt:00048999,adult DSK-producing cell,adult DSK producing cell,adult Dsk-producing neuron,adult Dsk producing neurons,adult Dsk-producing neurons,adult Dsk-producing,adult Dsk producing,adult Dsk producing neuron,adult dsk neuron,adult dsk neurons,adult dsk	0.98939669132232666015625
PMC6800437	Drosulfakinin signaling	FBbt:00048998	Drosulfakinin neuron	Drosulfakinin,Drosulfakinin neurons,Drosulfakinin neuron,DPC,FBbt:00048998,DSK,DSK-producing cell,DSK producing cell,Dsk-producing neuron,Dsk producing neuron,Dsk-producing neurons,Dsk producing neurons,Dsk producing,Dsk-producing,dsk neuron,dsk neurons,dsk	0.876544415950775146484375
PMC6800437	Drosulfakinin signaling	FBbt:00048999	adult Drosulfakinin neuron	,neurons,adult Drosulfakinin,adult Drosulfakinin neuron,neuron,adult Drosulfakinin neurons,adult DPC,FBbt:00048999,adult DSK-producing cell,adult DSK producing cell,adult Dsk-producing neuron,adult Dsk producing neurons,adult Dsk-producing neurons,adult Dsk-producing,adult Dsk producing,adult Dsk producing neuron,adult dsk neuron,adult dsk neurons,adult dsk	0.867250025272369384765625
PMC6800437	Dsk	FBbt:00048998	Drosulfakinin neuron	Drosulfakinin,Drosulfakinin neurons,Drosulfakinin neuron,DPC,FBbt:00048998,DSK,DSK-producing cell,DSK producing cell,Dsk-producing neuron,Dsk producing neuron,Dsk-producing neurons,Dsk producing neurons,Dsk producing,Dsk-producing,dsk neuron,dsk neurons,dsk	1
PMC6800437	Dsk	FBbt:00048999	adult Drosulfakinin neuron	,neurons,adult Drosulfakinin,adult Drosulfakinin neuron,neuron,adult Drosulfakinin neurons,adult DPC,FBbt:00048999,adult DSK-producing cell,adult DSK producing cell,adult Dsk-producing neuron,adult Dsk producing neurons,adult Dsk-producing neurons,adult Dsk-producing,adult Dsk producing,adult Dsk producing neuron,adult dsk neuron,adult dsk neurons,adult dsk	0.960576117038726806640625
PMC6800437	DSK	FBbt:00048998	Drosulfakinin neuron	Drosulfakinin,Drosulfakinin neurons,Drosulfakinin neuron,DPC,FBbt:00048998,DSK,DSK-producing cell,DSK producing cell,Dsk-producing neuron,Dsk producing neuron,Dsk-producing neurons,Dsk producing neurons,Dsk producing,Dsk-producing,dsk neuron,dsk neurons,dsk	1
PMC6800437	DSK	FBbt:00048999	adult Drosulfakinin neuron	,neurons,adult Drosulfakinin,adult Drosulfakinin neuron,neuron,adult Drosulfakinin neurons,adult DPC,FBbt:00048999,adult DSK-producing cell,adult DSK producing cell,adult Dsk-producing neuron,adult Dsk producing neurons,adult Dsk-producing neurons,adult Dsk-producing,adult Dsk producing,adult Dsk producing neuron,adult dsk neuron,adult dsk neurons,adult dsk	0.960576117038726806640625
PMC6800437	Dsk gene	FBbt:00048998	Drosulfakinin neuron	Drosulfakinin,Drosulfakinin neurons,Drosulfakinin neuron,DPC,FBbt:00048998,DSK,DSK-producing cell,DSK producing cell,Dsk-producing neuron,Dsk producing neuron,Dsk-producing neurons,Dsk producing neurons,Dsk producing,Dsk-producing,dsk neuron,dsk neurons,dsk	0.863832950592041015625
PMC6800437	Dsk neurons	FBbt:00048998	Drosulfakinin neuron	Drosulfakinin,Drosulfakinin neurons,Drosulfakinin neuron,DPC,FBbt:00048998,DSK,DSK-producing cell,DSK producing cell,Dsk-producing neuron,Dsk producing neuron,Dsk-producing neurons,Dsk producing neurons,Dsk producing,Dsk-producing,dsk neuron,dsk neurons,dsk	1
PMC6800437	Dsk neurons	FBbt:00048999	adult Drosulfakinin neuron	,neurons,adult Drosulfakinin,adult Drosulfakinin neuron,neuron,adult Drosulfakinin neurons,adult DPC,FBbt:00048999,adult DSK-producing cell,adult DSK producing cell,adult Dsk-producing neuron,adult Dsk producing neurons,adult Dsk-producing neurons,adult Dsk-producing,adult Dsk producing,adult Dsk producing neuron,adult dsk neuron,adult dsk neurons,adult dsk	0.964814603328704833984375
PMC6800437	dsx	FBbt:00047375	adult doublesex prC TN2 (male) neuron	adult doublesex prC TN2 (male) neuron,adult doublesex prC TN2 neuron,adult doublesex prC TN2 neurons,adult doublesex prC TN2 (male),adult doublesex prC TN2,adult doublesex prC TN2 (male) neurons,doublesex-expressing prothoracic TN2 neuron C,doublesex-expressing prothoracic TN2 neurons C,doublesex expressing prothoracic TN2 C,doublesex expressing prothoracic TN2 neurons C,doublesex-expressing prothoracic TN2 C,doublesex expressing prothoracic TN2 neuron C,FBbt:00047375,dsx-prC,prC,dsx prC	0.971136033535003662109375
